City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,geraldton,-28.7667,114.6,287.38,88,18,3.09,AU,2023-07-30
250,killybegs,54.6333,-8.45,288.99,80,96,6.3,IE,2023-07-30
251,boa vista,2.8197,-60.6733,297.14,88,75,0.51,BR,2023-07-30
252,saryg-sep,51.5,95.6,301.81,31,0,2.77,RU,2023-07-30
253,hedaru,-4.5,37.9,301.97,41,72,3.98,TZ,2023-07-30
254,buala,-8.145,159.5921,299.29,87,100,4.05,SB,2023-07-30
255,sioux lookout,50.1001,-91.917,284.53,77,77,2.44,CA,2023-07-30
256,valparaiso,-33.0393,-71.6273,288.15,67,100,3.22,CL,2023-07-30
257,yomou,7.5603,-9.2653,295.75,90,100,0.88,GN,2023-07-30
258,kudahuvadhoo,2.6708,72.8944,301.27,74,100,3.35,MV,2023-07-30
259,puro,12.4841,123.3827,301.11,77,100,8.47,PH,2023-07-30
260,yellowknife,62.456,-114.3525,287.22,89,42,1.68,CA,2023-07-30
261,greifswald,54.1,13.3833,295.97,100,71,5.95,DE,2023-07-30
262,benjamin constant,-4.3831,-70.0311,293.4,78,28,0.51,BR,2023-07-30
263,abay,49.6311,72.8539,305.36,28,72,5.35,KZ,2023-07-30
264,cururupu,-1.8283,-44.8683,299.66,83,6,2.74,BR,2023-07-30
265,umm lajj,25.0213,37.2685,305.67,66,25,5.19,SA,2023-07-30
266,erenhot,43.6475,111.9767,307.37,22,1,7.4,CN,2023-07-30
267,zinder,13.8072,8.9881,308.37,36,29,6.61,NE,2023-07-30
268,grand gaube,-20.0064,57.6608,298.92,61,5,3.13,MU,2023-07-30
269,pirgos,35.1167,25.7178,303.72,43,0,6.16,GR,2023-07-30
270,rize,40.9044,40.8949,288.05,79,61,1.74,TR,2023-07-30
271,sinnamary,5.3833,-52.95,299.12,87,23,4.12,GF,2023-07-30
272,plettenberg bay,-34.0527,23.3716,285.67,64,92,10.32,ZA,2023-07-30
273,zaraza,9.3503,-65.3245,296.16,98,84,0.75,VE,2023-07-30
274,urumqi,43.801,87.6005,300.68,28,0,3.0,CN,2023-07-30
275,hit,33.6416,42.8251,317.19,7,0,6.22,IQ,2023-07-30
276,sishui,35.6489,117.2758,299.66,90,91,4.85,CN,2023-07-30
277,puerto escondido,15.85,-97.0667,300.08,81,100,1.89,MX,2023-07-30
278,kemerovo,55.3333,86.0833,296.98,73,40,3.13,RU,2023-07-30
279,rocha,-34.4833,-54.3333,279.69,83,54,2.96,UY,2023-07-30
280,tura,25.5198,90.2201,304.1,74,87,0.44,IN,2023-07-30
281,alta floresta,-9.8756,-56.0861,293.96,47,35,1.43,BR,2023-07-30
282,sattahip,12.6664,100.9007,305.36,74,75,5.14,TH,2023-07-30
283,pyaozerskiy,65.8333,31.1667,290.03,80,97,4.15,RU,2023-07-30
284,eregli,37.5133,34.0467,303.71,15,0,3.27,TR,2023-07-30
285,tsaratanana,-16.7833,47.65,303.36,35,1,2.3,MG,2023-07-30
286,bengkulu,-3.8004,102.2655,299.35,86,87,4.6,ID,2023-07-30
287,cap malheureux,-19.9842,57.6142,298.97,61,4,3.13,MU,2023-07-30
288,khor,47.8861,134.9464,293.89,90,38,2.92,RU,2023-07-30
289,pevek,69.7008,170.3133,275.32,98,100,3.14,RU,2023-07-30
290,nalut,30.3333,10.85,317.22,7,0,4.28,LY,2023-07-30
291,anadyr,64.75,177.4833,286.43,82,75,5.0,RU,2023-07-30
292,thinadhoo,0.5333,72.9333,300.23,79,97,2.29,MV,2023-07-30
293,hobyo,5.3505,48.5268,300.27,70,21,12.67,SO,2023-07-30
294,nizhneangarsk,55.7833,109.55,287.45,93,100,1.19,RU,2023-07-30
295,verkhnyaya inta,65.9811,60.3094,300.69,37,8,2.07,RU,2023-07-30
296,airai,-8.9266,125.4092,287.64,91,66,1.55,TL,2023-07-30
297,the valley,18.217,-63.0578,302.09,78,93,6.8,AI,2023-07-30
298,udomlya,57.8794,34.9925,294.87,46,43,3.42,RU,2023-07-30
299,isangel,-19.55,169.2667,292.42,71,43,4.78,VU,2023-07-30
300,deputatskiy,69.3,139.9,275.89,92,100,2.43,RU,2023-07-30
301,broome,42.2506,-75.833,288.16,89,75,1.54,US,2023-07-30
302,matara,5.9485,80.5353,301.84,74,69,6.89,LK,2023-07-30
303,botou,38.0667,116.5667,299.85,87,100,5.85,CN,2023-07-30
304,katherine,-14.4667,132.2667,297.33,50,56,1.54,AU,2023-07-30
305,vuktyl,63.8567,57.3094,302.05,33,100,2.7,RU,2023-07-30
306,kaitangata,-46.2817,169.8464,278.32,86,27,2.4,NZ,2023-07-30
307,lethem,3.3803,-59.7968,297.35,89,22,2.1,GY,2023-07-30
308,launceston,-41.45,147.1667,281.95,76,43,7.72,AU,2023-07-30
309,huarmey,-10.0681,-78.1522,292.02,86,58,2.67,PE,2023-07-30
310,bombay,19.0144,72.8479,302.14,89,75,3.6,IN,2023-07-30
311,neuenkirchen,52.2447,7.3718,293.63,73,91,2.24,DE,2023-07-30
312,almeirim,-1.5233,-52.5817,298.56,81,53,2.23,BR,2023-07-30
313,richards bay,-28.783,32.0377,294.39,45,71,3.71,ZA,2023-07-30
314,meylan,45.2199,5.7901,302.01,79,80,2.66,FR,2023-07-30
315,gijon,43.5357,-5.6615,295.84,73,98,4.92,ES,2023-07-30
316,guerrero negro,27.9769,-114.0611,294.3,75,65,4.11,MX,2023-07-30
317,yumen,40.2833,97.2,301.08,24,78,12.29,CN,2023-07-30
318,sicuani,-14.2694,-71.2261,277.03,87,44,0.38,PE,2023-07-30
319,tomatlan,19.9333,-105.25,296.79,84,5,1.1,MX,2023-07-30
320,goderich,43.7501,-81.7165,293.1,72,58,7.23,CA,2023-07-30
321,khasan,42.4308,130.6434,297.68,83,100,2.37,RU,2023-07-30
322,ponta delgada,37.7333,-25.6667,296.55,83,20,3.09,PT,2023-07-30
323,portland,45.5234,-122.6762,289.6,78,0,0.45,US,2023-07-30
324,miyoshi,35.0833,137.0667,303.63,71,16,4.03,JP,2023-07-30
325,baherden,38.4362,57.4316,312.33,18,0,3.34,TM,2023-07-30
326,maldonado,-34.6667,-54.9167,283.23,81,62,2.71,UY,2023-07-30
327,vestmannaeyjar,63.4427,-20.2734,284.7,82,100,6.69,IS,2023-07-30
328,novobirilyussy,56.9514,90.6661,295.54,83,81,1.74,RU,2023-07-30
329,touros,-5.1989,-35.4608,298.75,80,90,5.59,BR,2023-07-30
330,mazatlan,23.2167,-106.4167,300.32,89,4,1.34,MX,2023-07-30
331,colares,38.7992,-9.4469,300.56,61,20,6.69,PT,2023-07-30
332,aklavik,68.2191,-135.0107,290.46,56,5,3.18,CA,2023-07-30
333,tucuman,-26.8241,-65.2226,285.26,64,0,1.44,AR,2023-07-30
334,kiama,-34.6833,150.8667,290.93,56,0,5.81,AU,2023-07-30
335,ayr,55.4627,-4.6339,288.88,88,75,8.75,GB,2023-07-30
336,anchorage,61.2181,-149.9003,288.67,96,100,0.0,US,2023-07-30
337,shklo,49.9567,23.5441,297.03,55,100,4.56,UA,2023-07-30
338,barcelona,41.3888,2.159,304.92,64,75,3.09,ES,2023-07-30
339,masuguru,-11.3667,38.4167,306.16,24,0,1.58,TZ,2023-07-30
340,zhigansk,66.7697,123.3711,288.1,43,23,8.27,RU,2023-07-30
341,japura,-0.3167,102.35,300.49,79,81,1.38,ID,2023-07-30
342,codrington,-38.2667,141.9667,280.4,86,9,4.23,AU,2023-07-30
343,sao joao da barra,-21.6403,-41.0511,292.44,76,100,2.57,BR,2023-07-30
344,kidal,18.4411,1.4078,311.48,25,41,5.69,ML,2023-07-30
345,khani,41.9563,42.9566,292.91,61,48,2.74,GE,2023-07-30
346,sheridan,44.8333,-106.9173,289.36,72,0,0.0,US,2023-07-30
347,lorengau,-2.0226,147.2712,300.99,76,21,2.66,PG,2023-07-30
348,acajutla,13.5928,-89.8275,299.59,77,93,2.27,SV,2023-07-30
349,quelimane,-17.8786,36.8883,304.59,31,5,2.55,MZ,2023-07-30
350,cosala,24.4125,-106.6908,294.55,75,49,1.68,MX,2023-07-30
